u,mu,t,i,ev,obs,val_re,val_im
1.0,0.0,0.05,8,1,â,1.6919402102693165e-5,0.0
1.0,0.0,0.05,8,1,n̂,0.457564808462261,0.0
1.0,0.0,0.0625,1,1,â⁺,-6.766573038389326e-5,0.0
1.0,0.0,0.0625,1,1,â,-6.766573038389326e-5,0.0
1.0,0.0,0.0625,1,1,n̂,0.44729514227678274,0.0
1.0,0.0,0.0625,2,1,â⁺,-5.639260887053779e-5,0.0
1.0,0.0,0.0625,2,1,â,-5.639260887053779e-5,0.0
1.0,0.0,0.0625,2,1,n̂,0.528731562307909,0.0
1.0,0.0,0.0625,3,1,â⁺,-3.369322065740825e-5,0.0
1.0,0.0,0.0625,3,1,â,-3.369322065740825e-5,0.0
1.0,0.0,0.0625,3,1,n̂,0.5080715773059016,0.0
1.0,0.0,0.0625,4,1,â⁺,-2.1357507216988827e-5,0.0
1.0,0.0,0.0625,4,1,â,-2.1357507216988827e-5,0.0
1.0,0.0,0.0625,4,1,n̂,0.5158971283563407,0.0
1.0,0.0,0.0625,5,1,â⁺,2.2638125971351923e-5,0.0
1.0,0.0,0.0625,5,1,â,2.2638125971351923e-5,0.0
1.0,0.0,0.0625,5,1,n̂,0.5158945987161896,0.0
1.0,0.0,0.0625,6,1,â⁺,3.065402165657879e-5,0.0
1.0,0.0,0.0625,6,1,â,3.065402165657879e-5,0.0
1.0,0.0,0.0625,6,1,n̂,0.50807641536165,0.0
1.0,0.0,0.0625,7,1,â⁺,5.437962382016629e-5,0.0
1.0,0.0,0.0625,7,1,â,5.437962382016629e-5,0.0
1.0,0.0,0.0625,7,1,n̂,0.5287318064235945,0.0
1.0,0.0,0.0625,8,1,â⁺,6.353960155407356e-5,0.0
1.0,0.0,0.0625,8,1,â,6.353960155407356e-5,0.0
1.0,0.0,0.0625,8,1,n̂,0.44730178746749816,0.0
1.0,0.0,0.075,1,1,â⁺,2.134635767768406e-6,0.0
1.0,0.0,0.075,1,1,â,2.134635767768406e-6,0.0
1.0,0.0,0.075,1,1,n̂,0.6400494380432002,0.0
1.0,0.0,0.075,2,1,â⁺,8.167247308089499e-7,0.0
1.0,0.0,0.075,2,1,â,8.167247308089499e-7,0.0
1.0,0.0,0.075,2,1,n̂,0.5806657906146796,0.0
1.0,0.0,0.075,3,1,â⁺,4.407259416464577e-8,0.0
